?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CRYOEM_0000072>	<http://www.w3.org/2000/01/rdf-schema#label>	"Micrograph"	
<http://purl.obolibrary.org/obo/CRYOEM_0000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"SetOfAtomStructs"	
<http://purl.obolibrary.org/obo/CRYOEM_0000077>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtCreateMask"	
<http://purl.obolibrary.org/obo/CRYOEM_0000084>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtAlignVolume"	
<http://purl.obolibrary.org/obo/CRYOEM_0000035>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtParticles"	
<http://purl.obolibrary.org/obo/CRYOEM_0000097>	<http://www.w3.org/2000/01/rdf-schema#label>	"SetOfParticles"	
<http://purl.obolibrary.org/obo/CRYOEM_0000067>	<http://www.w3.org/2000/01/rdf-schema#label>	"SetOfClassesVol"	
<http://purl.obolibrary.org/obo/CRYOEM_0000043>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtImportCoordinates"	
<http://purl.obolibrary.org/obo/CRYOEM_0000056>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtAlignMovies"	
<http://purl.obolibrary.org/obo/CRYOEM_0000047>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtImportMicrographsTiltPairs"	
<http://purl.obolibrary.org/obo/CRYOEM_0000022>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtSets"	
<http://purl.obolibrary.org/obo/CRYOEM_0000106>	<http://www.w3.org/2000/01/rdf-schema#label>	"SetOfMovieParticles"	
<http://purl.obolibrary.org/obo/CRYOEM_0000026>	<http://www.w3.org/2000/01/rdf-schema#label>	"SetOfCTF"	
<http://purl.obolibrary.org/obo/CRYOEM_0000092>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtSubSetByMic"	
<http://purl.obolibrary.org/obo/CRYOEM_0000016>	<http://www.w3.org/2000/01/rdf-schema#label>	"Prot3D"	
<http://purl.obolibrary.org/obo/CRYOEM_0000071>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mask"	
<http://purl.obolibrary.org/obo/CRYOEM_0000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"AtomStruct"	
<http://purl.obolibrary.org/obo/CRYOEM_0000030>	<http://www.w3.org/2000/01/rdf-schema#label>	"SetOfNormalModes"	
<http://purl.obolibrary.org/obo/CRYOEM_0000090>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtParticlePickingAuto"	
<http://purl.obolibrary.org/obo/CRYOEM_0000110>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtMaskParticles"	
<http://purl.obolibrary.org/obo/CRYOEM_0000042>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtImportAverages"	
<http://purl.obolibrary.org/obo/CRYOEM_0000095>	<http://www.w3.org/2000/01/rdf-schema#label>	"SetOfMicrographs"	
<http://purl.obolibrary.org/obo/CRYOEM_0000065>	<http://www.w3.org/2000/01/rdf-schema#label>	"SetOfClasses2D"	
<http://purl.obolibrary.org/obo/CRYOEM_0000100>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtAlign2D"	
<http://purl.obolibrary.org/obo/CRYOEM_0000078>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtAnalysis2D"	
<http://purl.obolibrary.org/obo/CRYOEM_0000085>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtCreateMask3D"	
<http://purl.obolibrary.org/obo/CRYOEM_0000105>	<http://www.w3.org/2000/01/rdf-schema#label>	"Class3D"	
<http://purl.obolibrary.org/obo/CRYOEM_0000054>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtCTFMicrographs"	
<http://purl.obolibrary.org/obo/CRYOEM_0000033>	<http://www.w3.org/2000/01/rdf-schema#label>	"Image3D"	
<http://purl.obolibrary.org/obo/CRYOEM_0000014>	<http://www.w3.org/2000/01/rdf-schema#label>	"Transform"	
<http://purl.obolibrary.org/obo/CRYOEM_0000027>	<http://www.w3.org/2000/01/rdf-schema#label>	"SetOfDefocusGroup"	
<http://purl.obolibrary.org/obo/CRYOEM_0000103>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtExtractParticlesPair"	
<http://purl.obolibrary.org/obo/CRYOEM_0000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtMicrographs"	
<http://purl.obolibrary.org/obo/CRYOEM_0000003>	<http://www.w3.org/2000/01/rdf-schema#label>	"EMProtocol"	
<http://purl.obolibrary.org/obo/CRYOEM_0000039>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtExtractCoords"	
<http://purl.obolibrary.org/obo/CRYOEM_0000008>	<http://www.w3.org/2000/01/rdf-schema#label>	"DefocusGroup"	
<http://purl.obolibrary.org/obo/CRYOEM_0000064>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtUnionSet"	
<http://purl.obolibrary.org/obo/CRYOEM_0000040>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtParticlePicking"	
<http://purl.obolibrary.org/obo/CRYOEM_0000053>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtCTFAssign"	
<http://purl.obolibrary.org/obo/CRYOEM_0000111>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtOperateParticles"	
<http://purl.obolibrary.org/obo/CRYOEM_0000076>	<http://www.w3.org/2000/01/rdf-schema#label>	"VolumeMask"	
<http://purl.obolibrary.org/obo/CRYOEM_0000083>	<http://www.w3.org/2000/01/rdf-schema#label>	"ProtRefine3D"	
